rail_type	kpi	model_type	param1_name	param1_value	param2_name	param2_value	R_squared
고속철도	PAI	A	c	0.03608			0.713707694
일반철도	PAI	A	c	0.04504			0.782472774
광역철도	PAI	A	c	0.02258			0.639678692
고속철도	TAI	B	a	0.0912	TAI_0	6.7471	0.877905902
일반철도	TAI	B	a	0.051991813	TAI_0	3.756617651	0.891038242
광역철도	TAI	B	a	0.12861709	TAI_0	4.295306757	0.905358682
고속철도	EAI	B	a	1.7825	EAI_0	51434	0.84349023
일반철도	EAI	B	a	2.053	EAI_0	15871	0.86709592
광역철도	EAI	B	a	0.5	EAI_0	2018	0.666733286
고속철도	TF	A	c	0.104469223			0.725306184
일반철도	TF	A	c	0.099318679			0.718979381
광역철도	TF	A	c	0.018764245			0.758936685
고속철도	TV	B	a	0.060077596	TV_0	12.14087575	0.849559545
일반철도	TV	B	a	0.058042344	TV_0	5.582152384	0.855337901
광역철도	TV	B	a	0.116772553	TV_0	6.340423346	0.870534572
고속철도	TOTP	B	a	0.124338164	TOTP_0	12.1610232	0.730374486
일반철도	TOTP	B	a	0.071634795	TOTP_0	5	0.309522044
광역철도	TOTP	B	a	0.127508395	TOTP_0	5.985840923	0.433861431
고속철도	TCI	B	a	0.011928879	TCI_0	80.25261668	0.876524397
일반철도	TCI	B	a	0.010254323	TCI_0	59.03423968	0.848915513
광역철도	TCI	B	a	0.011321344	TCI_0	65.27360687	0.841858245
고속철도	SC	B	a	0.588703308	SC_0	4.112917484	0.560538126
일반철도	SC	B	a	0.505211381	SC_0	4.321348878	0.483145369
광역철도	SC	B	a	0.734698828	SC_0	3.677147143	0.690611271
고속철도	TC	B	a	0.044278466	TC_0	113.9440703	0.647408802
일반철도	TC	B	a	0.041416426	TC_0	109.773306	0.629156849
광역철도	TC	B	a	0.036688505	TC_0	99.99571747	0.774070155
고속철도	TPC	B	a	0.609433131	TPC_0	4.108471985	0.651167019
일반철도	TPC	B	a	0.524008266	TPC_0	4.077948707	0.536267953
광역철도	TPC	B	a	0.761969417	TPC_0	3.552380907	0.711029336